source_relative_path	published_relative_path	source_bytes	source_sha256	published_sha256	publication_change
lerobot/src/lerobot/annotations/steerable_pipeline/modules/general_vqa.py	lerobot/src/lerobot/annotations/steerable_pipeline/modules/general_vqa.py	10075	b27e11092b9992fa776b7cda7314a335b92ac5659281f0eacc982a994e7ea440	b27e11092b9992fa776b7cda7314a335b92ac5659281f0eacc982a994e7ea440	original
lerobot/src/lerobot/annotations/steerable_pipeline/modules/interjections_and_speech.py	lerobot/src/lerobot/annotations/steerable_pipeline/modules/interjections_and_speech.py	9301	e7f8eb31b25e21aef03f2a96cece6575a89564eef574eb236984a4a57054a33a	e7f8eb31b25e21aef03f2a96cece6575a89564eef574eb236984a4a57054a33a	original
lerobot/src/lerobot/annotations/steerable_pipeline/modules/plan_subtasks_memory.py	lerobot/src/lerobot/annotations/steerable_pipeline/modules/plan_subtasks_memory.py	36884	48f44c050d4af251d6467dad71eb048b135eaf7d20e15a15d7b79ad741a1a68a	48f44c050d4af251d6467dad71eb048b135eaf7d20e15a15d7b79ad741a1a68a	original
lerobot/src/lerobot/annotations/steerable_pipeline/prompts/__init__.py	lerobot/src/lerobot/annotations/steerable_pipeline/prompts/__init__.py	1655	9de4cdb19c6d7724c07d70d1641651f20a1181adb29a2b30312c65e597236385	9de4cdb19c6d7724c07d70d1641651f20a1181adb29a2b30312c65e597236385	original
lerobot/src/lerobot/annotations/steerable_pipeline/prompts/interjections_initial_speech.txt	lerobot/src/lerobot/annotations/steerable_pipeline/prompts/interjections_initial_speech.txt	423	1fb06670a6d0fd220c4f22a7f65a8bd5c90b1afc60e3a1e10812171500b6f9fd	1fb06670a6d0fd220c4f22a7f65a8bd5c90b1afc60e3a1e10812171500b6f9fd	original
lerobot/src/lerobot/annotations/steerable_pipeline/prompts/interjections_interjection.txt	lerobot/src/lerobot/annotations/steerable_pipeline/prompts/interjections_interjection.txt	2068	f8cfa71c6078c293a45e34a3681e2ab385db9f950a541c6af87dc3684f61cd17	f8cfa71c6078c293a45e34a3681e2ab385db9f950a541c6af87dc3684f61cd17	original
lerobot/src/lerobot/annotations/steerable_pipeline/prompts/plan_memory.txt	lerobot/src/lerobot/annotations/steerable_pipeline/prompts/plan_memory.txt	1661	dd6a7f84249cafaf2271ea4b497166bcb489a455d9d28d2da0ff32ae2e0a9a5e	dd6a7f84249cafaf2271ea4b497166bcb489a455d9d28d2da0ff32ae2e0a9a5e	original
lerobot/src/lerobot/annotations/steerable_pipeline/prompts/plan_subtask_describe.txt	lerobot/src/lerobot/annotations/steerable_pipeline/prompts/plan_subtask_describe.txt	1208	3d91d2fdf8308c31ff318eff0c86d0b4fed61e1e70225ec6647d822aec5d3e70	3d91d2fdf8308c31ff318eff0c86d0b4fed61e1e70225ec6647d822aec5d3e70	original
lerobot/src/lerobot/annotations/steerable_pipeline/prompts/plan_subtask_relabel.txt	lerobot/src/lerobot/annotations/steerable_pipeline/prompts/plan_subtask_relabel.txt	1756	b2f5e02f1f6a9869cef6104dfbb3a560ba1f3f07614bf2e935e3e7a90a14014b	b2f5e02f1f6a9869cef6104dfbb3a560ba1f3f07614bf2e935e3e7a90a14014b	original
lerobot/src/lerobot/annotations/steerable_pipeline/prompts/plan_subtasks.txt	lerobot/src/lerobot/annotations/steerable_pipeline/prompts/plan_subtasks.txt	3400	498c246878c31414f75dd22f1d0710662391bc9cb05ac96bc98b97f3ce78b15d	498c246878c31414f75dd22f1d0710662391bc9cb05ac96bc98b97f3ce78b15d	original
